Timestamp, Device ID, Start Time, Received Time, Delay (ms)
2022-01-13 18:29:57,NF1,1642073397.2394772,1642073397.2395012,0.02
2022-01-13 18:29:59,NF1,1642073399.382964,1642073399.3830218,0.06
2022-01-13 18:30:05,NF1,1642073405.2295945,1642073405.2297716,0.18
2022-01-13 18:30:05,NF1,1642073405.263522,1642073405.2636395,0.12
2022-01-13 18:30:06,NF1,1642073406.0713375,1642073406.0713775,0.04
2022-01-13 18:30:08,NF1,1642073408.2527845,1642073408.2528334,0.05
2022-01-13 18:30:10,NF1,1642073410.402841,1642073410.4029067,0.07
2022-01-13 18:30:13,NF1,1642073413.0474286,1642073413.0474644,0.04
2022-01-13 18:30:15,NF1,1642073415.2205129,1642073415.2205708,0.06
2022-01-13 18:30:20,NF1,1642073420.3434277,1642073420.3435183,0.09
